Unnamed: 0,question,answer,파일명,result,source,Contain,bert_f1,f1_score,cosine_similarity
1,자산운용 관련 제도 정비를 통해 보험금청구권 신탁이 허용되는게 언제부터였지?,유가족 재산관리가 용이하도록 해 주는 보험금청구권 신탁 허용은 11.12.부터 시작됩니다,241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다.hwp,보험금청구권 신탁이 허용되는 것은 2024년 11월 12일부터입니다.,241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다.,1,0.7777258157730103,0.11764705882352941,0.12616795
2,금감원 지자체 금융권이 공동으로 참여한 설명회는 어느 나라에서 진행되었지?,금감원 지자체 금융권이 공동으로 참여한 투자설명회는 홍콩에서 개최되었습니다.,241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담.pdf,금감원 지자체 금융권이 공동으로 참여한 설명회는 홍콩에서 진행되었다.,241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담,1,0.9232780337333679,0.75,0.87743723
3,미 대선 및 FOMC 결과에 대응하기 위한 회의가 있었는데?,금융감독원은 美 대선 및 FOMC 결과와 관련하여 11.8일(금) 오전 이복현 원장 주재로 금융상황 점검회의를 개최하였습니다.,241111 (보도참고) 배포시_금감원 금융상황 점검회의 개최.pdf,미국 대선 및 FOMC 결과에 대응하기 위해 2024년 8월 1일에 거시경제금융회의가 개최되었다.,240919 美 통화정책 전환에 대응해 긴밀한 관계기관 공조 하에 리스크 관리 철저,0,0.7580421566963196,0.22222222222222224,0.5145181
4,25사업연도부터 달라지는 통제활동 공시에는 뭐가 있을까?,25사업연도부터 상장회사와 대형 비상장회사는 내부회계관리제도 운영실태보고서에 횡령 등 자금 부정을 예방 적발하기 위한 통제활동을 기재하여야 합니다.,241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동.pdf,"25사업연도부터 자금 부정 통제 공시는 상장회사와 대형 비상장회사가 의무적으로 시행하며, 자산 1천억 원 미만의 금융회사는 25년부터, 비금융회사는 26년부터 적용됩니다.",241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동,1,0.7760076522827148,0.22857142857142856,0.7396915
5,IFRS17 관련 보험개혁회의에서 IFRS17 도입 관련 문제점으로 지적된 평가내용이 있었나?,회의 참석자들은 IFRS17 도입으로 금리변동에 따른 보험부채 영향이 커진 가운데 지난 2년간 변동성 확대가 경영상 어려움으로 작용하였다고 평가하였습니다.,241111 (보도자료) 1500_ 「금리 하락기 IFRS17 안정화 및 리스크관리」 간담회 개최.pdf,보험개혁회의에서 IFRS17 도입 관련 문제점으로는 계리가정의 편차로 인한 '고무줄 회계이익' 논란과 낙관적인 가정으로 인한 보험계약마진(CSM)의 과대계상이 지적되었다.,241101[별첨] IFRS17 안착을 위한 보험건전성 감독 강화방안,0,0.7196335792541504,0.058823529411764705,0.810976
6,11월 11일 여의도 오투타워에서 있었던 간담회 주제가 뭐였지?,"11월 11일 여의도 오투타워(서울핀테크랩)에서 개최된 간담회는 ’24년 제11회 「찾아가는 금융규제 샌드박스」 간담회이며, 금융위원회와 금융감독원, 한국핀테크지원센터가 블록체인 관련 기업들을 대상으로 개최하였습니다.",241111 (보도자료) 24년 제11회 찾아가는 금융규제 샌드박스 간담회.hwp,"11월 11일 여의도 오투타워에서 열린 간담회의 주제는 ""블록체인 기업 특집""으로, 블록체인 기술을 활용한 금융서비스를 제공하고자 하는 핀테크 기업들과의 소통이었습니다.",241111 (보도자료) 24년 제11회 찾아가는 금융규제 샌드박스 간담회,1,0.7737510800361633,0.20512820512820512,0.776455
7,24.10월중 전금융권 가계대출 증가액이 얼마였지?,24.10월중 全금융권 가계대출은 총 +6.6조원 증가하여 전월(+5.3조원) 대비 증가폭이 확대되었습니다.,241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최.hwp,2024년 10월 중 전 금융권 가계대출은 +6.6조원 증가하였다.,241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최,1,0.8536706566810608,0.22222222222222224,0.88700217
8,24.10월 기준 외국인이 보유한 상장주식과 상장채권은 총 얼마였지?,"’24.10월말 현재 외국인은 상장주식 728.9조원(시가총액의 27.7%), 상장채권 268.9조원(상장잔액의 10.5%) 등 총 997.8조원의 상장증권을 보유하고 있습니다.",241108 (보도자료) 석간_2024년 10월 외국인 증권투자 동향(수정).hwp,2024년 10월 기준 외국인이 보유한 상장주식과 상장채권은 총 997.8조원이었습니다.,240812 (보도자료) 석간_2024년 7월 외국인 증권투자 동향_,0,0.8155402541160583,0.08333333333333334,0.755339
9,금융감독원장이 중소기업과 소통하기 위해 24.11월에 개최한 회의는 어디에서 진행되었지?,"’24.11.7.(목) 금융감독원 이복현 원장이 김기문 중소기업중앙회장, 금융권 및 중소기업 관계자와 함께 진행한 현장 간담회는 중소기업중앙회에서 개최되었습니다.","241107 금융감독원장, 중소기업과 소통 및 협력 강화를 위한 간담회 실시.hwp",금융감독원장이 중소기업과 소통하기 위해 2024년 11월 7일 중소기업중앙회에서 회의를 개최하였습니다.,241107 (별첨) 금융감독원장 모두발언,0,0.7854318618774414,0.07692307692307693,0.75632626
10,"금융꿀팁 156번째가 퇴직연금 관련이었는데, 무슨 내용이었지?","156번째 금융꿀팁은 퇴직연금 실물이전 서비스 신청과 관련한 내용으로, 가입자 유의사항에 대해 알기 쉽게 안내하였습니다.",241107 (보도참고) [금융꿀팁 156] 퇴직연금 실물이전 신청시 유의사항 안내.pdf,해당 passages에는 퇴직연금 관련 내용이 포함되어 있지 않습니다.,240905 (보도자료) 신규 혁신금융서비스 지정 6건 의결,0,0.7670706510543823,0.09090909090909091,0.22272688
