Unnamed: 0,question,answer,파일명,result
1,자산운용 관련 제도 정비를 통해 보험금청구권 신탁이 허용되는게 언제부터였지?,유가족 재산관리가 용이하도록 해 주는 보험금청구권 신탁 허용은 11.12.부터 시작됩니다,241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다.hwp,보험금청구권 신탁이 허용되는 것은 2024년 11월 12일부터입니다. 이는 자산운용 관련 제도 정비를 위한 자본시장법 시행령 및 금융투자업규정 개정안이 시행됨에 따라 이루어진 것입니다 (출처: 241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다..txt).
2,금감원 지자체 금융권이 공동으로 참여한 설명회는 어느 나라에서 진행되었지?,금감원 지자체 금융권이 공동으로 참여한 투자설명회는 홍콩에서 개최되었습니다.,241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담.pdf,"금감원, 지자체, 금융권이 공동으로 참여한 설명회는 홍콩에서 진행되었습니다. 이 설명회는 'INVEST K-FINANCE: HONG KONG IR 2024'라는 제목으로, 한국 자본시장 선진화 및 금융산업의 글로벌화를 위해 개최되었습니다. (출처: 241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담.txt)"
3,미 대선 및 FOMC 결과에 대응하기 위한 회의가 있었는데?,금융감독원은 美 대선 및 FOMC 결과와 관련하여 11.8일(금) 오전 이복현 원장 주재로 금융상황 점검회의를 개최하였습니다.,241111 (보도참고) 배포시_금감원 금융상황 점검회의 개최.pdf,"미국 대선 및 FOMC 결과에 대응하기 위한 회의가 여러 차례 개최되었습니다. 특히, 2024년 8월 1일에는 최상목 부총리 겸 기획재정부장관 주재로 거시경제금융회의가 열렸습니다. 이 회의에서는 미국 연방공개시장위원회(FOMC)의 금리 동결 결정에 따른 국내외 금융 및 외환 시장의 영향을 점검하고 대응 방향을 논의했습니다. 참석자에는 한국은행 총재 이창용, 금융위원회 위원장 김병환, 금융감독원 원장 이복현 등이 포함되었습니다 (출처: 240801(보도자료) 금융시장 안정을 위해 관계기관 공조 강화.txt).

또한, 금융감독원은 FOMC 종료 직후인 8월 1일 오전에 금융상황 점검회의를 개최하였으며, 이복현 원장은 과도한 금리 인하 기대감을 경계하고 주요 현안을 신속하게 처리해야 한다고 강조했습니다. 그는 하반기 예상되는 한·미 통화정책 전환과 미국 대선이 글로벌 금융시장의 변곡점이 될 수 있다고 언급했습니다 (출처: 240801 (보도참고) 배포시_금감원, 금융상황 점검회의 개최.txt)."
4,25사업연도부터 달라지는 통제활동 공시에는 뭐가 있을까?,25사업연도부터 상장회사와 대형 비상장회사는 내부회계관리제도 운영실태보고서에 횡령 등 자금 부정을 예방 적발하기 위한 통제활동을 기재하여야 합니다.,241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동.pdf,"2025 사업연도부터 달라지는 통제활동 공시는 상장회사와 대형 비상장회사가 '내부회계관리제도 운영실태보고서'에 '횡령 등 자금 부정을 예방·적발하기 위한 통제 활동'을 기재해야 한다는 것입니다. 이 공시는 2024 사업연도에는 선택 적용이 가능하지만, 2025 사업연도부터는 의무적으로 적용됩니다. 또한, 자산 1천억 원 미만의 상장회사와 대형 비상장회사는 2026 사업연도부터 적용할 수 있도록 유예됩니다. 이러한 변화는 자금 부정을 방지하기 위한 통제 활동과 점검 결과를 구체적으로 공시하게 하여 경영진과 통제·점검 수행자의 책임 의식을 높이는 데 기여할 것으로 기대됩니다 (출처: 241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동.txt)."
5,IFRS17 관련 보험개혁회의에서 IFRS17 도입 관련 문제점으로 지적된 평가내용이 있었나?,회의 참석자들은 IFRS17 도입으로 금리변동에 따른 보험부채 영향이 커진 가운데 지난 2년간 변동성 확대가 경영상 어려움으로 작용하였다고 평가하였습니다.,241111 (보도자료) 1500_ 「금리 하락기 IFRS17 안정화 및 리스크관리」 간담회 개최.pdf,"IFRS17 도입과 관련하여 보험개혁회의에서 지적된 문제점은 여러 가지가 있습니다. 첫째, IFRS17의 도입으로 인해 계리가정의 재무적 중요성이 증가했으나, 원칙 중심의 기준서 특성으로 인해 회사별 가정의 편차가 발생하여 '고무줄 회계이익' 논란이 제기되었습니다. 이는 보험부채 산출 시 손해율이나 해지율을 낙관적으로 가정할 경우 보험계약마진(CSM)이 과대계상될 수 있다는 우려를 포함합니다 (출처: 241106[별첨2] IFRS17 주요 계리가정 가이드라인.txt).

둘째, 무·저해지상품의 경우 계약자가 비합리적으로 행동할 것이라는 전제를 두고 수익성을 산출하는 문제가 있으며, 이는 보험료 할인으로 이어져 상품 쏠림현상을 심화시킬 수 있습니다 (출처: 241106[별첨2] IFRS17 주요 계리가정 가이드라인.txt).

셋째, 외부 검증 제도가 형식적으로 운영되고 있어 그 효과가 떨어진다는 분석도 제기되었습니다. 이는 시가평가 기반 결산의 신뢰성을 확보하기 위한 노력에도 불구하고, 외부 검증의 질적 향상이 필요하다는 점을 시사합니다 (출처: 241111 (보도자료) 1500_ 「금리 하락기 IFRS17 안정화 및 리스크관리」 간담회 개최.txt). 

이러한 문제점들은 IFRS17의 안정적인 정착을 위해 해결해야 할 중요한 과제로 지적되고 있습니다."
6,11월 11일 여의도 오투타워에서 있었던 간담회 주제가 뭐였지?,"11월 11일 여의도 오투타워(서울핀테크랩)에서 개최된 간담회는 ’24년 제11회 「찾아가는 금융규제 샌드박스」 간담회이며, 금융위원회와 금융감독원, 한국핀테크지원센터가 블록체인 관련 기업들을 대상으로 개최하였습니다.",241111 (보도자료) 24년 제11회 찾아가는 금융규제 샌드박스 간담회.hwp,"11월 11일 여의도 오투타워에서 열린 간담회의 주제는 ""찾아가는 금융규제 샌드박스""로, 블록체인 기업들을 대상으로 한 특집 간담회였습니다. 이 간담회에서는 블록체인 기술을 활용해 금융서비스를 제공하고자 하는 8개 핀테크 기업들이 금융위원회, 금융감독원, 핀테크지원센터와 소통하는 시간을 가졌습니다. (출처: 241111 (보도자료) 24년 제11회 찾아가는 금융규제 샌드박스 간담회.txt)"
7,24.10월중 전금융권 가계대출 증가액이 얼마였지?,24.10월중 全금융권 가계대출은 총 +6.6조원 증가하여 전월(+5.3조원) 대비 증가폭이 확대되었습니다.,241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최.hwp,"2024년 10월 중 전 금융권 가계대출은 총 +6.6조원 증가하였으며, 이는 전월(+5.3조원) 대비 증가폭이 확대된 것입니다. (출처: 241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최.txt)"
8,24.10월 기준 외국인이 보유한 상장주식과 상장채권은 총 얼마였지?,"’24.10월말 현재 외국인은 상장주식 728.9조원(시가총액의 27.7%), 상장채권 268.9조원(상장잔액의 10.5%) 등 총 997.8조원의 상장증권을 보유하고 있습니다.",241108 (보도자료) 석간_2024년 10월 외국인 증권투자 동향(수정).hwp,"2024년 10월 기준으로 외국인이 보유한 상장주식과 상장채권의 총액은 997.8조원이었습니다. 이 중 상장주식은 728.87조원, 상장채권은 268.937조원입니다. (출처: 241108 (보도자료) 석간_2024년 10월 외국인 증권투자 동향(수정).txt)"
9,금융감독원장이 중소기업과 소통하기 위해 24.11월에 개최한 회의는 어디에서 진행되었지?,"’24.11.7.(목) 금융감독원 이복현 원장이 김기문 중소기업중앙회장, 금융권 및 중소기업 관계자와 함께 진행한 현장 간담회는 중소기업중앙회에서 개최되었습니다.","241107 금융감독원장, 중소기업과 소통 및 협력 강화를 위한 간담회 실시.hwp","금융감독원장이 중소기업과 소통하기 위해 2024년 11월 7일에 개최한 회의는 중소기업중앙회에서 진행되었습니다 (출처: 241107 금융감독원장, 중소기업과 소통 및 협력 강화를 위한 간담회 실시.txt)."
10,"금융꿀팁 156번째가 퇴직연금 관련이었는데, 무슨 내용이었지?","156번째 금융꿀팁은 퇴직연금 실물이전 서비스 신청과 관련한 내용으로, 가입자 유의사항에 대해 알기 쉽게 안내하였습니다.",241107 (보도참고) [금융꿀팁 156] 퇴직연금 실물이전 신청시 유의사항 안내.pdf,"죄송하지만, 제공된 자료에는 퇴직연금 관련 금융꿀팁 156번째에 대한 내용이 포함되어 있지 않습니다. 따라서 해당 내용에 대한 정보를 제공할 수 없습니다. 추가적인 정보가 필요하시다면 다른 질문을 해주시면 감사하겠습니다."
11,24.6월말 기준 금융복합기업집단의 자본적정성 비율이 어느정도였지?,"’24.6월말 금융복합기업집단의 자본적정성 비율은 184.3%로 전년말(193.7%)
대비 9.4%p 하락하였습니다.",241107 (보도자료) 석간_24.6월말 금융복합기업집단 자본적정성 비율.pdf,"2024년 6월 말 기준 금융복합기업집단의 자본적정성 비율은 184.3%로, 전년말의 193.7%에 비해 9.4%p 하락했습니다. 이 비율은 금융복합기업집단법상 규제비율인 100%를 상회하고 있습니다. (출처: 241107 (보도자료) 석간_24.6월말 금융복합기업집단 자본적정성 비율.txt)"
12,카카오모빌리티가 증선위에서 왜 조치를 받은거였지?,"증선위는 재무제표의 영업수익과 영업비용을 과대계상한 ㈜카카오모빌리티(이하 ‘회사’)에 대해, “직무상 주의의무를 현저히 결한 중대한 회계처리기준 위반”이 있다고 보아 중징계를 결정하였습니다.","241106(보도참고) 증선위, ㈜카카오모빌리티 회계처리기준 위반에 대하여 중징계 조치.hwp","카카오모빌리티가 증선위에서 조치를 받은 이유는 신용카드사의 부가서비스 제공 관행과 관련된 문제 때문입니다. 최근 신용카드 이용자들이 부가서비스 미제공에 대한 민원을 제기하였고, 이로 인해 신용카드사들이 무이자할부 서비스 이용 시 안내가 부족하다는 지적이 있었습니다. 이러한 문제는 소비자들이 자신에게 유리한 혜택을 비교하고 선택하기 어렵게 만들고 있으며, 이에 대한 개선이 필요하다는 결론이 내려졌습니다. 카카오모빌리티는 이러한 부가서비스 제공과 관련된 시스템 개선을 추진 중입니다 (출처: 241007_1630_(보도자료) 신용카드사의 부가서비스 제공 관행 등 개선.txt)."
13,위메프 티몬 사태 관련 관계부처 TF 3차 회의는 언제 어디서 진행됐었지?,위메프 티몬 사태 관련 관계부처 TF 3차 회의는 24.8.23.(금) 정부서울청사에서 진행되었습니다.,"위메프 티몬 사태 미정산 피해 현황점검, e커머스 제도개선 방안 조만간 마련.pdf","위메프·티몬 사태 관련 관계부처 TF 3차 회의는 2024년 8월 23일 금요일 15:40부터 17:00까지 정부서울청사에서 진행되었습니다. (출처: 위메프 티몬 사태 미정산 피해 현황점검, e커머스 제도개선 방안 조만간 마련.txt)"
14,"보험부채 할인율 현실화 방안 문서에서, 보험 할인율은 어떻게 계산하고 있지?",할인율은 실무적으로 국고채 수익률을 토대로 산출한 무위험 금리기간구조에 유동성프리미엄을 가산하여 산출합니다.,241106[별첨1] 보험부채 할인율 현실화 연착륙 방안.pdf,"보험부채 할인율은 보험계약의 장래 현금 유출입을 추정하고 이를 현재 시점으로 할인하여 시가 평가하는 방식으로 계산됩니다. 이 과정에서 할인율은 매년 금융감독원이 운영하는 할인율 운영 자문위원회를 통해 설정되며, 경제적 가정에 따라 회사별 차이가 적도록 기준이 제시됩니다. 2023년 8월에는 할인율 단계적 현실화 방안이 발표되어 시행 중이며, 장기선도금리 조정폭과 유동성프리미엄 등의 요소가 고려됩니다. 예를 들어, 장기선도금리 조정폭은 매년 25bp로 확대될 예정이며, 유동성프리미엄은 2027년부터 제외될 계획입니다 (출처: 241106[별첨1] 보험부채 할인율 현실화 연착륙 방안.txt)."
15,"대부업계 개인채무자보호법 준비실태 사전 현장점검 결과에 따르면, 개인채무자보호법은 언제 시행되지?",개인채무자보호법은 24.10.17. 시행됩니다.,241106 대부업계 「개인채무자보호법」 준비실태 사전 현장점검 결과.pdf,개인채무자보호법은 2024년 10월 17일부터 시행됩니다. (출처: 241007 개인채무자보호법 시행 준비상황 및 향후 추진계획 점검회의 개최.txt)
16,카드사 유료 부가상품 관련 원스톱 서비스가 뭐지?,카드사 원스톱 서비스란 모바일 앱에서 유료 부가상품 가입 내역을 통합 조회하고 간편하게 해지할 수 있는 서비스를 말합니다.,241106 내가 가입한 카드사 유료 부가상품 이제 모바일에서 쉽고 편리하게 관리하세요!.pdf,"카드사 유료 부가상품 관련 원스톱 서비스는 소비자들이 자신이 가입한 유료 부가상품의 현황을 한눈에 확인하고, 원하지 않는 상품을 간편하게 해지할 수 있는 통합 조회 및 해지 서비스입니다. 이 서비스는 모바일 앱을 통해 제공되며, 현재 일부 카드사에서는 이러한 서비스가 마련되어 있지 않아 소비자들이 불편을 겪고 있는 상황입니다. 앞으로 모든 카드사의 모바일 앱에서 이 원스톱 서비스가 제공될 예정입니다. (출처: 241106 내가 가입한 카드사 유료 부가상품 이제 모바일에서 쉽고 편리하게 관리하세요!.txt)"
17,"24년 11월에 있었던 옴부즈만 위촉 관련, 이번 옴부즈만은 몇기야?",금융감독원은 24.11.4. 외부전문가 5명을 제7기 옴부즈만으로 위촉하였습니다.,241106 (보도참고) 배포시_금융감독원은 제7기 옴부즈만을 신규로 위촉하였습니다.pdf,"이번 옴부즈만은 제3기입니다. (출처: 240910_금융감독원,「2024년 반부패 청렴 워크숍」개최.txt)"
18,보험사기로 인해 형사처벌을 받는 경우 형량이 어느정도인지?,보험사기방지특별법상 10년 이하의 징역 또는 5천만원 이하의 벌금을 받게 됩니다.,241104 금융감독원과 부산남부경찰서가 공조 보험사기 적발.pdf,"보험사기로 인해 형사처벌을 받는 경우 형량은 사건의 구체적인 상황에 따라 다르지만, 일반적으로 형사처벌은 벌금형이나 징역형으로 이어질 수 있습니다. 특히, 중대법규 위반이 있는 경우에는 더 엄격한 처벌이 적용될 수 있습니다. 형사합의금의 지급 여부와 관련하여, 형사절차가 종결된 후에 이루어진 합의는 형사합의로 인정되지 않아 보험금을 받을 수 없다는 점도 중요합니다. 따라서 형사처벌의 경중과 형사합의의 유무에 따라 형량이 달라질 수 있습니다 (출처: 240828 주요 분쟁사례로 알아보는 소비자 유의사항(교통사고처리지원금 특약 관련).txt)."
19,경영인정기보험은 누구를 대상으로 가입하는 보험인가?,경영인정기보험은 중소기업이 경영진의 유고 등에 대비하기 위해 대표이사 등을 피보험자로 하여 가입하는 보장성 보험입니다.,241101 경영인정기보험 관련 불건전 영업행위를 지속 점검하겠습니다.pdf,"경영인정기보험은 중소기업이 경영진의 유고 등에 대비하기 위해 가입하는 보장성 보험으로, 주로 법인 대표이사(CEO) 등을 피보험자로 설정하여 가입합니다. 이 보험은 경영진의 사망 등과 같은 상황에 대비하기 위해 설계되었습니다. (출처: 241101 경영인정기보험 관련 불건전 영업행위를 지속 점검하겠습니다.txt)"
20,24년도 3분기 등록 ABS 발행실적이 얼마인지?,24년 3분기 등록 ABS 발행금액은 10.7조원입니다.,241030 (보도자료) 석간_24년 3분기 등록 ABS 발행 실적.pdf,"2024년 3분기 등록 ABS 발행금액은 10.7조원으로, 전년 동기 대비 6.9조원(39.3%↓) 감소하였습니다. (출처: 241030 (보도자료) 석간_24년 3분기 등록 ABS 발행 실적.txt)"
