Unnamed: 0,question,answer,파일명,result
1,자산운용 관련 제도 정비를 통해 보험금청구권 신탁이 허용되는게 언제부터였지?,유가족 재산관리가 용이하도록 해 주는 보험금청구권 신탁 허용은 11.12.부터 시작됩니다,241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다.hwp,보험금청구권 신탁이 허용되는 것은 2024년 11월 12일부터입니다. 이는 자산운용 관련 제도 정비를 위한 자본시장법 시행령 및 금융투자업규정 개정안이 시행됨에 따라 이루어진 것입니다 (출처: 241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다..txt).
2,금감원 지자체 금융권이 공동으로 참여한 설명회는 어느 나라에서 진행되었지?,금감원 지자체 금융권이 공동으로 참여한 투자설명회는 홍콩에서 개최되었습니다.,241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담.pdf,"금감원, 지자체, 금융권이 공동으로 참여한 설명회는 홍콩에서 진행되었습니다. 이 설명회는 'INVEST K-FINANCE: HONG KONG IR 2024'라는 제목으로, 한국 자본시장 선진화 및 금융산업의 글로벌화를 위해 개최되었습니다. (출처: 241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담.txt)"
3,미 대선 및 FOMC 결과에 대응하기 위한 회의가 있었는데?,금융감독원은 美 대선 및 FOMC 결과와 관련하여 11.8일(금) 오전 이복현 원장 주재로 금융상황 점검회의를 개최하였습니다.,241111 (보도참고) 배포시_금감원 금융상황 점검회의 개최.pdf,"미국 대선 및 FOMC 결과에 대응하기 위한 회의가 여러 차례 개최되었습니다. 특히, 2024년 8월 1일에는 기획재정부, 한국은행, 금융위원회, 금융감독원 등 관계기관이 모여 거시경제금융회의를 열고, 7월 FOMC에서의 금리 동결 결정에 따른 국내외 금융 및 외환 시장의 영향을 점검하고 대응 방향을 논의했습니다. 이 회의에서는 중동 지정학적 불안과 미국 대선 등 불확실성이 높은 상황에서 관계기관 간의 지속적인 공조와 리스크 관리의 중요성이 강조되었습니다 (출처: 240801(보도자료) 금융시장 안정을 위해 관계기관 공조 강화.txt).

또한, 2024년 8월 6일에는 긴급 거시경제·금융현안 간담회가 개최되어 최근 국내외 금융시장 동향을 점검하고 향후 대응 방향에 대해 논의하였습니다. 참석자들은 미국 증시의 하락 원인과 아시아 증시의 반응에 대해 평가하며, 시장 안정 조치를 신속히 추진할 필요성을 언급했습니다 (출처: 240806 금융시장 안정을 위해 관계기관 공조 강화.txt)."
4,25사업연도부터 달라지는 통제활동 공시에는 뭐가 있을까?,25사업연도부터 상장회사와 대형 비상장회사는 내부회계관리제도 운영실태보고서에 횡령 등 자금 부정을 예방 적발하기 위한 통제활동을 기재하여야 합니다.,241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동.pdf,"2025 사업연도부터 달라지는 통제활동 공시는 상장회사와 대형 비상장회사가 '횡령 등 자금 부정을 예방·적발하기 위한 통제 활동'을 의무적으로 기재해야 한다는 것입니다. 이는 '내부회계관리제도 운영실태보고서'에 포함되어야 하며, 2024 사업연도에는 선택적으로 적용됩니다. 이 공시는 자금 부정을 방지하기 위한 통제 활동과 점검 결과를 구체적으로 공시하게 하여 기업의 책임 의식을 높이고, 내부회계관리제도를 보다 내실 있게 운영할 수 있도록 하는 데 목적이 있습니다. 또한, 자산 1천억 원 미만의 상장회사와 대형 비상장회사는 2026 사업연도부터 적용될 수 있도록 유예됩니다 (출처: 241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동.txt)."
5,IFRS17 관련 보험개혁회의에서 IFRS17 도입 관련 문제점으로 지적된 평가내용이 있었나?,회의 참석자들은 IFRS17 도입으로 금리변동에 따른 보험부채 영향이 커진 가운데 지난 2년간 변동성 확대가 경영상 어려움으로 작용하였다고 평가하였습니다.,241111 (보도자료) 1500_ 「금리 하락기 IFRS17 안정화 및 리스크관리」 간담회 개최.pdf,"IFRS17 도입과 관련하여 보험개혁회의에서 지적된 문제점으로는 보험회사들이 자의적 가정을 사용할 경우 발생할 수 있는 '고무줄 회계'와 관련된 비판이 있었습니다. 이는 단기적으로 손익에 드러나지 않지만, 미래에 위험이 이연되어 보험회사의 건전성이 갑자기 저하될 우려가 있다는 점이 강조되었습니다. 이러한 문제는 보험계약자에게 피해를 줄 수 있는 잠재적인 리스크로 지적되었습니다. 또한, IFRS17 도입으로 인해 사업비 집행이 과다해지는 현상도 문제로 지적되었습니다. (출처: 241106(보도자료) 합리적인 계리가정과 단계적 할인율 조정.txt)"
6,11월 11일 여의도 오투타워에서 있었던 간담회 주제가 뭐였지?,"11월 11일 여의도 오투타워(서울핀테크랩)에서 개최된 간담회는 ’24년 제11회 「찾아가는 금융규제 샌드박스」 간담회이며, 금융위원회와 금융감독원, 한국핀테크지원센터가 블록체인 관련 기업들을 대상으로 개최하였습니다.",241111 (보도자료) 24년 제11회 찾아가는 금융규제 샌드박스 간담회.hwp,"11월 11일 여의도 오투타워에서 있었던 간담회의 주제는 ""금리 하락기 IFRS17 안정화 및 리스크관리""였습니다. 이 간담회는 금융감독원 주재로 주요 보험사 및 회계법인 경영진과 함께 진행되었으며, IFRS17 시행 초기의 혼란과 금리 하락으로 인한 보험사 건전성에 대한 우려를 논의하는 자리였습니다 (출처: 241111 (보도자료) 1500_ 「금리 하락기 IFRS17 안정화 및 리스크관리」 간담회 개최.txt)."
7,24.10월중 전금융권 가계대출 증가액이 얼마였지?,24.10월중 全금융권 가계대출은 총 +6.6조원 증가하여 전월(+5.3조원) 대비 증가폭이 확대되었습니다.,241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최.hwp,"2024년 10월 중 전 금융권 가계대출은 총 +6.6조원 증가하였으며, 이는 전월(+5.3조원) 대비 증가폭이 확대된 것입니다. (출처: 241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최.txt)"
8,24.10월 기준 외국인이 보유한 상장주식과 상장채권은 총 얼마였지?,"’24.10월말 현재 외국인은 상장주식 728.9조원(시가총액의 27.7%), 상장채권 268.9조원(상장잔액의 10.5%) 등 총 997.8조원의 상장증권을 보유하고 있습니다.",241108 (보도자료) 석간_2024년 10월 외국인 증권투자 동향(수정).hwp,"2024년 10월 기준으로 외국인이 보유한 상장주식은 728.9조원, 상장채권은 268.9조원입니다. 따라서 외국인이 보유한 상장주식과 상장채권의 총액은 997.8조원입니다. (출처: 241108 (보도자료) 석간_2024년 10월 외국인 증권투자 동향(수정).txt)"
9,금융감독원장이 중소기업과 소통하기 위해 24.11월에 개최한 회의는 어디에서 진행되었지?,"’24.11.7.(목) 금융감독원 이복현 원장이 김기문 중소기업중앙회장, 금융권 및 중소기업 관계자와 함께 진행한 현장 간담회는 중소기업중앙회에서 개최되었습니다.","241107 금융감독원장, 중소기업과 소통 및 협력 강화를 위한 간담회 실시.hwp","금융감독원장이 중소기업과 소통하기 위해 2024년 11월 7일에 개최한 회의는 중소기업중앙회에서 진행되었습니다. (출처: 241107 금융감독원장, 중소기업과 소통 및 협력 강화를 위한 간담회 실시.txt)"
10,"금융꿀팁 156번째가 퇴직연금 관련이었는데, 무슨 내용이었지?","156번째 금융꿀팁은 퇴직연금 실물이전 서비스 신청과 관련한 내용으로, 가입자 유의사항에 대해 알기 쉽게 안내하였습니다.",241107 (보도참고) [금융꿀팁 156] 퇴직연금 실물이전 신청시 유의사항 안내.pdf,"죄송하지만, 제공된 자료에는 퇴직연금 관련 금융꿀팁에 대한 내용이 포함되어 있지 않습니다. 따라서 156번째 금융꿀팁의 구체적인 내용은 확인할 수 없습니다. 추가적인 정보가 필요하시면 다른 자료를 제공해 주시기 바랍니다."
11,24.6월말 기준 금융복합기업집단의 자본적정성 비율이 어느정도였지?,"’24.6월말 금융복합기업집단의 자본적정성 비율은 184.3%로 전년말(193.7%)
대비 9.4%p 하락하였습니다.",241107 (보도자료) 석간_24.6월말 금융복합기업집단 자본적정성 비율.pdf,"2024년 6월 말 기준 금융복합기업집단의 자본적정성 비율은 184.3%로, 전년말(193.7%) 대비 9.4%p 하락하였습니다. 이 비율은 금융복합기업집단법상 규제비율인 100%를 상회하고 있습니다. (출처: 241107 (보도자료) 석간_24.6월말 금융복합기업집단 자본적정성 비율.txt)"
12,카카오모빌리티가 증선위에서 왜 조치를 받은거였지?,"증선위는 재무제표의 영업수익과 영업비용을 과대계상한 ㈜카카오모빌리티(이하 ‘회사’)에 대해, “직무상 주의의무를 현저히 결한 중대한 회계처리기준 위반”이 있다고 보아 중징계를 결정하였습니다.","241106(보도참고) 증선위, ㈜카카오모빌리티 회계처리기준 위반에 대하여 중징계 조치.hwp","카카오모빌리티는 증선위에서 중징계를 받은 이유는 회계처리기준을 위반하여 영업수익과 영업비용을 과대계상한 것으로, 이는 ""직무상 주의의무를 현저히 결한 중대한 회계처리기준 위반""으로 간주되었습니다. 구체적으로, 카카오모빌리티는 자회사 KMS를 통해 택시와의 업무제휴계약 수수료를 영업수익에서 차감해야 했음에도 불구하고 이를 차감하지 않아 영업수익과 영업비용을 각각 과대계상한 것으로 나타났습니다. 이로 인해 카카오모빌리티와 관련된 여러 인물에게 총 41.4억원의 과징금이 부과되었고, 전 재무담당임원에 대한 해임 권고 및 직무정지 6개월, 감사인 지정 2년 등의 제재가 결정되었습니다 (출처: 241106(보도참고) 증선위, ㈜카카오모빌리티 회계처리기준 위반에 대하여 중징계 조치.txt)."
13,위메프 티몬 사태 관련 관계부처 TF 3차 회의는 언제 어디서 진행됐었지?,위메프 티몬 사태 관련 관계부처 TF 3차 회의는 24.8.23.(금) 정부서울청사에서 진행되었습니다.,"위메프 티몬 사태 미정산 피해 현황점검, e커머스 제도개선 방안 조만간 마련.pdf","위메프·티몬 사태 관련 관계부처 TF 3차 회의는 2024년 8월 23일(금) 15:40부터 17:00까지 정부서울청사에서 진행되었습니다. (출처: 위메프 티몬 사태 미정산 피해 현황점검, e커머스 제도개선 방안 조만간 마련.txt)"
14,"보험부채 할인율 현실화 방안 문서에서, 보험 할인율은 어떻게 계산하고 있지?",할인율은 실무적으로 국고채 수익률을 토대로 산출한 무위험 금리기간구조에 유동성프리미엄을 가산하여 산출합니다.,241106[별첨1] 보험부채 할인율 현실화 연착륙 방안.pdf,"보험부채 할인율은 보험부채 시가 평가를 위해 회사별 차이가 적은 경제적 가정을 바탕으로 계산됩니다. 금융감독원은 매년 할인율 운영 자문위원회를 개최하여 차년도 할인율 적용기준을 마련하고 있으며, 이를 통해 할인율의 단계적 현실화 방안을 시행하고 있습니다. 현재는 장기선도금리 조정폭, 유동성프리미엄, 최종관찰만기 등의 요소를 고려하여 할인율을 조정하고 있습니다. 예를 들어, 최종관찰만기는 2025년까지 20년에서 30년으로 확대될 예정이며, 유동성프리미엄은 2027년까지 제외될 계획입니다 (출처: 241106[별첨1] 보험부채 할인율 현실화 연착륙 방안.txt)."
15,"대부업계 개인채무자보호법 준비실태 사전 현장점검 결과에 따르면, 개인채무자보호법은 언제 시행되지?",개인채무자보호법은 24.10.17. 시행됩니다.,241106 대부업계 「개인채무자보호법」 준비실태 사전 현장점검 결과.pdf,"개인채무자보호법은 2024년 10월 17일부터 시행됩니다. 이 법은 2024년 1월에 제정되었으며, 시행을 앞두고 준비 상황을 점검하고 있습니다 (출처: 241007 [별첨] 「개인채무자보호법」시행 점검회의 모두발언.txt)."
16,카드사 유료 부가상품 관련 원스톱 서비스가 뭐지?,카드사 원스톱 서비스란 모바일 앱에서 유료 부가상품 가입 내역을 통합 조회하고 간편하게 해지할 수 있는 서비스를 말합니다.,241106 내가 가입한 카드사 유료 부가상품 이제 모바일에서 쉽고 편리하게 관리하세요!.pdf,"카드사 유료 부가상품 관련 원스톱 서비스는 소비자가 모바일 앱을 통해 자신이 가입한 유료 부가상품의 내역을 한눈에 확인하고, 필요할 경우 한 번에 해지할 수 있는 통합 조회 및 간편 해지 기능을 제공하는 서비스입니다. 이 서비스는 카드사 유료 부가상품에 대한 소비자 접근성을 높이고, 모바일 금융 서비스 이용 환경에 맞춰 개선된 것입니다. 또한, 모바일 이용대금명세서에 유료 부가상품 이용내역 및 수수료가 별도로 표시되어 소비자가 쉽게 인지할 수 있도록 하고 있습니다 (출처: 241106 내가 가입한 카드사 유료 부가상품 이제 모바일에서 쉽고 편리하게 관리하세요!.txt)."
17,"24년 11월에 있었던 옴부즈만 위촉 관련, 이번 옴부즈만은 몇기야?",금융감독원은 24.11.4. 외부전문가 5명을 제7기 옴부즈만으로 위촉하였습니다.,241106 (보도참고) 배포시_금융감독원은 제7기 옴부즈만을 신규로 위촉하였습니다.pdf,"이번 옴부즈만은 제 2기입니다. (출처: 240910_금융감독원,「2024년 반부패 청렴 워크숍」개최.txt)"
18,보험사기로 인해 형사처벌을 받는 경우 형량이 어느정도인지?,보험사기방지특별법상 10년 이하의 징역 또는 5천만원 이하의 벌금을 받게 됩니다.,241104 금융감독원과 부산남부경찰서가 공조 보험사기 적발.pdf,"보험사기로 인해 형사처벌을 받는 경우, 형량은 보험사기방지특별법에 따라 10년 이하의 징역형 또는 5천만원 이하의 벌금에 처해질 수 있습니다. 이는 보험사기를 주도한 병원 및 의료진뿐만 아니라, 이들의 제안에 동조하거나 가담한 환자들도 포함됩니다 (출처: 241029 금융감독원 서울경찰청 공조 보험사기 적발.txt)."
19,경영인정기보험은 누구를 대상으로 가입하는 보험인가?,경영인정기보험은 중소기업이 경영진의 유고 등에 대비하기 위해 대표이사 등을 피보험자로 하여 가입하는 보장성 보험입니다.,241101 경영인정기보험 관련 불건전 영업행위를 지속 점검하겠습니다.pdf,경영인정기보험은 중소기업이 경영진의 유고 등에 대비하기 위해 대표이사(CEO) 등을 피보험자로 하여 가입하는 보장성 보험입니다. (출처: 241101 경영인정기보험 관련 불건전 영업행위를 지속 점검하겠습니다.txt)
20,24년도 3분기 등록 ABS 발행실적이 얼마인지?,24년 3분기 등록 ABS 발행금액은 10.7조원입니다.,241030 (보도자료) 석간_24년 3분기 등록 ABS 발행 실적.pdf,"2024년 3분기 등록 ABS 발행금액은 10.7조원으로, 전년 동기 대비 6.9조원(39.3%↓) 감소하였습니다. (출처: 241030 (보도자료) 석간_24년 3분기 등록 ABS 발행 실적.txt)"
21,중앙은행 디지털화폐(CBDC)가 무엇인지?,"Central Bank Digital Currency의 약자로, 중앙은행이 발행하는 디지털 형태의 새로운 화폐를 의미합니다.",241030중앙은행 디지털 화폐(CBDC) 등 혁신금융서비스 9건 지정.pdf,"중앙은행 디지털화폐(CBDC)는 중앙은행이 발행하는 디지털 형태의 새로운 화폐를 의미합니다. 이는 기존의 화폐와는 달리 디지털 방식으로 거래되며, 금융기관 간 자금 거래 및 최종 결제 등에 활용될 수 있습니다. 최근 한국은행은 CBDC 시스템 내에서 예금 토큰 기반의 지급 및 이체 서비스를 구축할 계획을 발표하였으며, 이를 통해 이용자에게 실명으로 전자지갑을 개설하고, 은행 예금 기반의 토큰화된 지급수단인 예금 토큰을 발행하여 물품 및 서비스 구매에 활용할 수 있도록 할 예정입니다 (출처: 241030중앙은행 디지털 화폐(CBDC) 등 혁신금융서비스 9건 지정.txt)."
