Unnamed: 0,question,answer,파일명,result
1,자산운용 관련 제도 정비를 통해 보험금청구권 신탁이 허용되는게 언제부터였지?,유가족 재산관리가 용이하도록 해 주는 보험금청구권 신탁 허용은 11.12.부터 시작됩니다,241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다.hwp,보험금청구권 신탁이 허용되는 것은 2024년 11월 12일부터입니다. 이는 자산운용 관련 제도 정비를 위한 자본시장법 시행령 및 금융투자업규정 개정안이 시행됨에 따라 이루어졌습니다 (출처: 241111(보도자료) 유가족 재산관리가 용이하도록 보험금청구권 신탁이 허용됩니다..txt).
2,금감원 지자체 금융권이 공동으로 참여한 설명회는 어느 나라에서 진행되었지?,금감원 지자체 금융권이 공동으로 참여한 투자설명회는 홍콩에서 개최되었습니다.,241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담.pdf,"금감원, 지자체, 금융권이 공동으로 참여한 설명회는 홍콩에서 진행되었습니다. 이 설명회는 'INVEST K-FINANCE: HONG KONG IR 2024'라는 제목으로, 한국 자본시장 선진화 및 금융산업의 글로벌화를 위해 개최되었습니다. (출처: 241111 금융권 공동 해외 IR 참석 및 동아시아 3개국 금융감독기구 최고위급 면담.txt)"
3,미 대선 및 FOMC 결과에 대응하기 위한 회의가 있었는데?,금융감독원은 美 대선 및 FOMC 결과와 관련하여 11.8일(금) 오전 이복현 원장 주재로 금융상황 점검회의를 개최하였습니다.,241111 (보도참고) 배포시_금감원 금융상황 점검회의 개최.pdf,"미국 연방공개시장위원회(FOMC)의 금리 동결 결정에 따른 대응을 위해 거시경제금융회의가 개최되었습니다. 이 회의에서는 국내외 금융 및 외환 시장에 미치는 영향을 점검하고, 향후 대응 방향을 논의하였습니다. 참석자에는 한국은행 총재 이창용, 금융위원회 위원장 김병환, 금융감독원 원장 이복현 등이 포함되었습니다. 또한, 중동의 지정학적 불안과 미국 대선 등 불확실성이 높은 상황에서 관계기관 간의 지속적인 공조와 리스크 관리 강화가 강조되었습니다 (출처: 240801(보도자료) 금융시장 안정을 위해 관계기관 공조 강화.txt)."
4,25사업연도부터 달라지는 통제활동 공시에는 뭐가 있을까?,25사업연도부터 상장회사와 대형 비상장회사는 내부회계관리제도 운영실태보고서에 횡령 등 자금 부정을 예방 적발하기 위한 통제활동을 기재하여야 합니다.,241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동.pdf,"2025 사업연도부터 달라지는 통제활동 공시에는 상장회사와 대형 비상장회사가 '내부회계관리제도 운영실태보고서'에 '횡령 등 자금 부정을 예방·적발하기 위한 통제 활동'을 기재해야 하는 내용이 포함됩니다. 2024 사업연도에는 선택적으로 적용할 수 있으며, 2025년부터는 의무적으로 적용됩니다. 또한, 자산 1천억 원 미만의 상장회사와 대형 비상장회사는 2026 사업연도부터 적용될 예정입니다. 이러한 변화는 기업의 책임 의식을 높이고 내부회계관리제도가 보다 내실 있게 운영될 것으로 기대됩니다 (출처: 241111 (보도자료) 석간_횡령 등 자금 부정을 예방적발하기 위한 통제활동.txt)."
5,IFRS17 관련 보험개혁회의에서 IFRS17 도입 관련 문제점으로 지적된 평가내용이 있었나?,회의 참석자들은 IFRS17 도입으로 금리변동에 따른 보험부채 영향이 커진 가운데 지난 2년간 변동성 확대가 경영상 어려움으로 작용하였다고 평가하였습니다.,241111 (보도자료) 1500_ 「금리 하락기 IFRS17 안정화 및 리스크관리」 간담회 개최.pdf,"IFRS17 도입과 관련하여 보험개혁회의에서 지적된 문제점은 여러 가지가 있습니다. 첫째, IFRS17의 도입으로 계리가정의 재무적 중요성이 증가했으나, 원칙 중심의 기준서 특성으로 인해 회사별 가정의 편차가 발생하여 '고무줄 회계이익' 논란이 제기되었습니다. 예를 들어, IFRS4 대비 IFRS17의 이익 증가율이 △782%에서 189%까지 다양하게 나타났습니다 (출처: 241106[별첨2] IFRS17 주요 계리가정 가이드라인.txt).

둘째, 보험부채 산출 시 손해율이나 해지율 등을 지나치게 낙관적으로 가정할 경우 보험계약마진(CSM)이 과대계상될 위험이 있습니다. 특히, 무·저해지상품의 경우 계약자가 비합리적으로 행동할 것이라는 전제를 두고 수익성을 산출하는 문제가 지적되었습니다 (출처: 241106[별첨2] IFRS17 주요 계리가정 가이드라인.txt).

셋째, 이러한 비합리적인 가정은 보험회사의 건전성을 저하시킬 수 있으며, 장기적으로 보험료 급증 등의 부작용을 초래할 수 있다는 우려도 제기되었습니다 (출처: 241106(보도자료) 합리적인 계리가정과 단계적 할인율 조정.txt). 

이와 같은 문제점들은 IFRS17의 안정적인 정착을 위해 해결해야 할 핵심 과제로 다루어지고 있습니다."
6,11월 11일 여의도 오투타워에서 있었던 간담회 주제가 뭐였지?,"11월 11일 여의도 오투타워(서울핀테크랩)에서 개최된 간담회는 ’24년 제11회 「찾아가는 금융규제 샌드박스」 간담회이며, 금융위원회와 금융감독원, 한국핀테크지원센터가 블록체인 관련 기업들을 대상으로 개최하였습니다.",241111 (보도자료) 24년 제11회 찾아가는 금융규제 샌드박스 간담회.hwp,"11월 11일 여의도 오투타워에서 있었던 간담회의 주제는 ""금리 하락기의 IFRS17 안정화 및 보험사 리스크관리""였습니다. 이 간담회는 금융감독원에서 개최되었으며, 주요 보험사 및 회계법인 경영진과 함께 IFRS17 시행 초기의 혼란과 보험사 건전성에 대한 우려를 논의하기 위해 마련되었습니다 (출처: 241111 (보도자료) 1500_ 「금리 하락기 IFRS17 안정화 및 리스크관리」 간담회 개최.txt)."
7,24.10월중 전금융권 가계대출 증가액이 얼마였지?,24.10월중 全금융권 가계대출은 총 +6.6조원 증가하여 전월(+5.3조원) 대비 증가폭이 확대되었습니다.,241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최.hwp,"2024년 10월 중 전 금융권 가계대출은 총 +6.6조원 증가하였으며, 이는 전월(+5.3조원) 대비 증가폭이 확대된 것입니다 (출처: 241111 (보도자료) 10월 가계대출 동향(잠정) 및 가계부채 점검회의 개최.txt)."
8,24.10월 기준 외국인이 보유한 상장주식과 상장채권은 총 얼마였지?,"’24.10월말 현재 외국인은 상장주식 728.9조원(시가총액의 27.7%), 상장채권 268.9조원(상장잔액의 10.5%) 등 총 997.8조원의 상장증권을 보유하고 있습니다.",241108 (보도자료) 석간_2024년 10월 외국인 증권투자 동향(수정).hwp,"2024년 10월 기준으로 외국인이 보유한 상장주식은 728.9조원, 상장채권은 268.9조원으로, 총 997.8조원의 상장증권을 보유하고 있습니다. (출처: 241108 (보도자료) 석간_2024년 10월 외국인 증권투자 동향(수정).txt)"
9,금융감독원장이 중소기업과 소통하기 위해 24.11월에 개최한 회의는 어디에서 진행되었지?,"’24.11.7.(목) 금융감독원 이복현 원장이 김기문 중소기업중앙회장, 금융권 및 중소기업 관계자와 함께 진행한 현장 간담회는 중소기업중앙회에서 개최되었습니다.","241107 금융감독원장, 중소기업과 소통 및 협력 강화를 위한 간담회 실시.hwp",금융감독원장이 중소기업과 소통하기 위해 개최한 회의는 2024년 11월 7일에 중소기업중앙회 리더스룸(5층)에서 진행되었습니다. (출처: 241107 (별첨) 금융감독원장 모두발언.txt)
10,"금융꿀팁 156번째가 퇴직연금 관련이었는데, 무슨 내용이었지?","156번째 금융꿀팁은 퇴직연금 실물이전 서비스 신청과 관련한 내용으로, 가입자 유의사항에 대해 알기 쉽게 안내하였습니다.",241107 (보도참고) [금융꿀팁 156] 퇴직연금 실물이전 신청시 유의사항 안내.pdf,"금융꿀팁 156번째는 퇴직연금 실물이전 신청 시 유의사항에 대한 내용입니다. 이 꿀팁은 금융소비자가 퇴직연금 계좌를 다른 퇴직연금사업자로 이전할 때, 기존에 운용 중인 상품을 매도하지 않고 실물 그대로 이전하는 제도에 대해 설명하고 있습니다. 금융감독원은 이와 관련하여 가입자들이 주의해야 할 핵심 사항들을 알기 쉽게 안내하고 있습니다. (출처: 241107 (보도참고) [금융꿀팁 156] 퇴직연금 실물이전 신청시 유의사항 안내.txt)"
